Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Eutelsat Hot Bird 13B,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,13.08,35759,35812,0.000629,0.02,1436.06,4900,2240,14000,15,EADS Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton/Breeze M,2006-032A,29270,2006
Eutelsat Hot Bird 13C,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,0.99,35786,35787,1.19E-05,0.06,1436.09,4880,2338,14500,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065A,33459,2008
Eutelsat KA-SAT 9A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,9,35714,35856,0.00168,0.13,1436.01,6150,3200,11000,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-069A,37258,2010
Globalstar M073,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054F,37193,2010
Globalstar M074,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1415,0.000128,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054B,37189,2010
Globalstar M075,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1415,0.000128,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054E,37192,2010
Globalstar M076,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1412,1415,0.000193,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054C,37190,2010
Globalstar M077,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054D,37191,2010
Globalstar M078,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1412,1415,0.000193,51.99,114.08,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005E,39076,2013
Globalstar M079,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054A,37188,2010
Globalstar M080,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080B,38041,2011
Globalstar M081,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1412,1415,0.000193,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033E,37743,2011
Globalstar M082,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080C,38042,2011
Globalstar M083,France,23.885942,35.907757,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033A,37739,2011
Globalstar M084,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080A,38040,2011
Globalstar M085,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1415,0.000128,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033D,37742,2011
Globalstar M086,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080F,38045,2011
Globalstar M088,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1412,1415,0.000193,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033B,37740,2011
Globalstar M089,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1415,0.000128,51.99,118.2,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033F,37744,2011
Globalstar M090,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080E,38044,2011
Globalstar M091,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1415,0.000128,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033C,37741,2011
Globalstar M092,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52,114.1,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080D,38043,2011
Globalstar M093,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1412,1415,0.000193,51.98,113.35,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005B,39073,2013
Globalstar M094,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,51.99,103.44,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005C,39074,2013
Globalstar M095,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,51.98,114.08,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005F,39077,2013
Globalstar M096,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1413,1414,6.42E-05,52.01,103.48,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005D,39075,2013
Globalstar M097,France,-95.712891,37.09024,Globalstar,USA,Commercial,Communications,Earth Science/Meterology,LEO,Non-Polar Inclined,0,1370,1391,0.00135,52.01,113.96,700,350,1700,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005A,39072,2013
Galileo FOC FM1,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,17231,25971,0.156,49.78,776.25,733,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050A,40128,2014
Galileo FOC FM10,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23272,23280,0.000135,57.4,847.01,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030A,41549,2016
Galileo FOC FM11,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23483,23530,0.000787,57.4,856.9,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030B,41550,2016
Galileo FOC FM2,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,13810,25918,0.231,49.77,705.11,733,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050B,40129,2014
Galileo FOC FM3,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23516,23574,0.000969,55,858.55,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544,2015
Galileo FOC FM4,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23353,23382,0.000488,55.1,850.5,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017B,40545,2015
Galileo FOC FM5,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23218,23240,0.000372,57.1,845,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045A,40889,2015
Galileo FOC FM6,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23220,23239,0.000321,57.1,844,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045B,40890,2015
Galileo FOC FM8,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23550,23618,0.00114,54.96,860.51,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079B,41175,2015
Galileo FOC FM9,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23551,23568,0.000284,54.95,858.34,723,660,18000,12,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079A,41174,2015
Galileo IOV-1 PFM,Germany,-95.712891,37.09024,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23240,23306,0.00111,54.68,846.88,700,660,1420,12,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060A,37846,2011
Galileo IOV-2 FM3,Germany,18.643501,60.128162,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23214,23233,0.000321,55.34,844.76,700,660,1420,12,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055A,38857,2012
Galileo IOV-2 FM4,Germany,-95.712891,37.09024,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23217,23227,0.000169,55.3,844.69,700,660,1420,12,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055B,38858,2012
RapidEye-1,Germany,10.451526,51.165691,RapidEye AG,Germany,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,613,646,0.00236,97.9,97.3,175,150,86,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040C,33314,2008
RapidEye-2,Germany,10.451526,51.165691,RapidEye AG,Germany,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,621,638,0.00121,97.9,97.3,175,150,86,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040A,33312,2008
RapidEye-3,Germany,10.451526,51.165691,RapidEye AG,Germany,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,621,637,0.00114,97.9,97.3,175,150,86,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040D,33315,2008
RapidEye-4,Germany,10.451526,51.165691,RapidEye AG,Germany,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,621,638,0.00121,97.9,97.3,175,150,86,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040E,33316,2008
RapidEye-5,Germany,10.451526,51.165691,RapidEye AG,Germany,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,617,642,0.00179,97.9,97.3,175,150,86,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040B,33313,2008
HellasSat 2,Greece,100.992538,15.870032,Hellas-Sat Consortium Ltd.,Greece,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,39.06,35769,35803,0.000403,0.01,1436.08,3300,"1,500-1,901",7600,15,Astrium,"France, UK, Germany",Cape Canaveral,Atlas 5,2003-020A,27811,2003
ABS-2,India,78.962883,20.593683,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,75,35778,35793,0.000178,0.08,1436.03,6330,1800,16000,15,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508,2014
ABS-2A,India,78.962883,20.593683,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-75,35700,35700,0,0,1436.1,1800,1800,16000,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,2016
ABS-4,India,78.962883,20.593683,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,75,35780,35793,0.000154,0.01,1436.1,4143,1700,7400,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,2004
ABS-6,India,78.962883,20.593683,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,159,35777,35794,0.000202,0.01,1436.08,2894,1730,"6,800",15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,1999
Intelsat APR-2,India,78.962883,20.593683,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,83.03,35769,35804,0.000415,0.18,1436.11,2550,1150,2000,12,Aerospatiale ,France,Xichang Satellite Launch Center,Long March CZ3B,1999-016A,25666,1999
BRISat,Indonesia,-95.712891,37.09024,Bank Rakyat Indonesia (BRI),Indonesia,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,150.5,35702,35876,0.00206,0.07,1436.2,3540,"1,050 (BOL)","1,800 (BOL)",15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2016-039A,41591,2016
Garuda-1,Indonesia,-95.712891,37.09024,Asia Cellular Satellite,Indonesia/Philippines/Thailand,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,123.03,35774,35801,0.00032,1.22,1436.16,4291,2500,14000,12,Lockheed Martin Missiles and Space,USA,Baikonur Cosmodrome,Proton,2000-011A,26089,2000
Palapa C2,Indonesia,113.921326,-0.789275,PT Indosat,Indonesia,Commercial,Communications,Optical Imaging,GEO,Non-Polar Inclined,112.99,35784,35789,5.93E-05,0.05,1436.13,3014,1740,3700,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-030A,23864,1996
BSAT-3A,Japan,-95.712891,37.09024,Broadcasting Satellite System Corp.,Japan,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,109.91,35778,35794,0.00019,0.03,1436.1,1980,"1,050 (BOL)","1,800 (BOL)",13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036B,32019,2007
BSAT-3B,Japan,-95.712891,37.09024,Broadcasting Satellite System Corp.,Japan,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,110,33066,35725,0.0326,0.07,1365.61,2060,975,"1,800 (BOL)",15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2010-056B,37207,2010
BSAT-3C/JCSat 110-R,Japan,-95.712891,37.09024,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Japan,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,110,35784,35787,3.56E-05,0.05,1436.04,2910,975,"1,800 (BOL)",15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2011-041B,37776,2011
JCSat R,Japan,138.25293,36.204823,"Intelsat, S.A.",USA,Commercial,Communications,Earth Science,GEO,Deep Highly Eccentric,50,35779,35794,0.000178,0.02,1436.1,3124,1841,5200,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1997-007A,24732,1997
JCSat 110,Japan,138.25293,36.204823,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,Earth Science,GEO,Non-Polar Inclined,110.1,35784,35789,5.93E-05,0.01,1436.11,3531,1669,"7,200",15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,2000-060A,26559,2000
JCSat 1B,Japan,138.25293,36.204823,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,Earth Science,GEO,Non-Polar Inclined,128.03,35778,35794,0.00019,0.01,1436.09,2982,1308,5200,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1997-075A,25067,1997
JCSat 2A,Japan,138.25293,36.204823,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,Earth Science,GEO,Non-Polar Inclined,154,35788,35794,7.12E-05,0.01,1436.1,2500,1460,3500,11,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,2002
JCSat 4A,Japan,138.25293,36.204823,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,Earth Science,GEO,Non-Polar Inclined,123.85,33782,37768,0.0473,0.07,1435.52,2900,1230,5200,14.5,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630,1999
N-Star C,Japan,138.25293,36.204823,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,Meteorology,GEO,Non-Polar Inclined,135.08,35772,35799,0.00032,0.06,1436.08,1625,800,"2,600 (BOL)",15,Lockheed Martin Commercial Space Systems/Orbital Sciences,USA,Guiana Space Center,Ariane 5,2002-035B,27461,2002
SOCRATES,Japan,138.25293,36.204823,National Institute of Information and Communications Technology (JPN),Japan,Commercial,Technology Development,Earth Science,LEO,Sun-Synchronous,0,618,629,0.000786,97.87,97.17,48,467,100,6,"Advanced Engineering Services Company, Ltd.",Japan,Tanegashima Space Center,H-2A,2014-029C,39768,2014
KazSat-3,Kazakhstan,66.923683,48.019573,JSC KazSat,Kazakhstan,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,58.5,35784,35789,5.93E-05,0.12,1436.08,185,500,5500,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Proton-M,2014-023B,39728,2014
Astra 1D,Luxembourg,-3.435973,55.378052,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-67.6,35776,35795,0.000225,1.15,1436.08,2924,1700,3300,15,Hughes,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,1994
Astra 1F,Luxembourg,-3.435973,55.378052,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,19.22,35778,35797,0.000225,0.03,1436.15,3010,1800,4400,15,Hughes,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,1996
Astra 1G,Luxembourg,-95.712891,37.09024,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,19.24,35780,35791,0.00013,0.04,1436.08,3379,"3,010 (BOL)",6600,15,Hughes,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,1997
Astra 1H,Luxembourg,-95.712891,37.09024,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-67.6,35776,35794,0.000213,0.06,1436.04,3690,2300,6600,15,Hughes,USA,Baikonur Cosmodrome,Proton D,1999-033A,25785,1999
